"ch_1","ch_2","ch_3","ch_4","ch_5","ch_6","ch_7","ch_8","finger"
"0.02064","0.02583","0.036175","0.020483","0.02983","0.027883","0.013024","0.010158","0"
"0.019866","0.025954","0.036869","0.020787","0.026673","0.02746","0.012154","0.010789","0"
"0.018292","0.023247","0.028577","0.019095","0.03472","0.034704","0.014156","0.011134","0"
"0.016936","0.019141","0.019024","0.020718","0.036149","0.033367","0.014569","0.01195","0"
"0.017668","0.02231","0.035144","0.020807","0.033838","0.032073","0.014681","0.011732","0"
"0.016446","0.023616","0.035508","0.019585","0.035805","0.034032","0.014473","0.010371","0"
"0.018403","0.023939","0.041206","0.025093","0.031269","0.029901","0.012258","0.01085","0"
"0.027135","0.034112","0.053045","0.028041","0.040534","0.039743","0.014666","0.013931","0"
"0.020711","0.032956","0.047588","0.02303","0.03483","0.036367","0.011653","0.010927","0"
"0.020379","0.02315","0.032557","0.017592","0.029467","0.028907","0.013119","0.011337","0"
"0.020914","0.033501","0.042019","0.019689","0.025552","0.02657","0.012553","0.010361","0"
"0.02016","0.030341","0.040322","0.020767","0.027128","0.026342","0.012664","0.010835","0"
"0.019789","0.029349","0.039257","0.020846","0.02585","0.026477","0.01157","0.010827","0"
"0.020838","0.025902","0.044374","0.025606","0.033175","0.031745","0.013202","0.011416","0"
"0.016503","0.023243","0.037224","0.021745","0.028994","0.029502","0.014213","0.0088359","0"
"0.018742","0.025868","0.037554","0.023809","0.034206","0.03246","0.012728","0.011014","0"
"0.019953","0.02851","0.039582","0.022699","0.024865","0.027888","0.01336","0.010198","0"
"0.019112","0.027456","0.040875","0.02163","0.03077","0.03192","0.013528","0.01121","0"
"0.020661","0.028578","0.039721","0.022283","0.032161","0.029921","0.013404","0.010697","0"
"0.018275","0.019032","0.03717","0.020765","0.032836","0.029524","0.011935","0.011375","0"
"0.017548","0.027213","0.044243","0.02445","0.029891","0.027066","0.011969","0.010572","0"
"0.020576","0.029132","0.041573","0.022473","0.034834","0.03362","0.012457","0.0096676","0"
"0.014988","0.022713","0.053757","0.020797","0.028079","0.02877","0.013055","0.0092477","0"
"0.01687","0.022467","0.060256","0.021245","0.026076","0.025914","0.012401","0.011124","0"
"0.018111","0.026552","0.038961","0.022685","0.035905","0.035335","0.013046","0.010545","0"
"0.014237","0.023168","0.031262","0.018512","0.032074","0.031354","0.011986","0.0095683","0"
"0.017721","0.02813","0.033687","0.020529","0.03057","0.031779","0.013529","0.011064","0"
"0.017032","0.023035","0.034167","0.019652","0.027683","0.031005","0.013212","0.01008","0"
"0.016739","0.022114","0.038374","0.021365","0.032214","0.029906","0.013376","0.0089739","0"
"0.015298","0.019668","0.03225","0.018236","0.028972","0.028686","0.012894","0.010242","0"
"0.018454","0.024006","0.035671","0.022726","0.035154","0.032702","0.014359","0.012325","0"
"0.016343","0.022029","0.039024","0.020065","0.027556","0.025876","0.011988","0.010687","0"
"0.016941","0.024898","0.040283","0.023428","0.029081","0.028931","0.011657","0.01061","0"
"0.018498","0.022928","0.04144","0.024981","0.030197","0.032106","0.012908","0.010865","0"
"0.026972","0.031147","0.042237","0.026898","0.036202","0.036559","0.014113","0.011049","0"
"0.020648","0.030823","0.043783","0.02559","0.03362","0.033193","0.014273","0.011998","0"
